"Date" "Run.Num" "Sample.Bag" "Date.Time" "Timestamp" "HR.Delta.iCH4.Mean" "HP.Delta.iCH4.Mean" "Delta.13CO2.Mean" "HR.12CH4.Mean" "HR.13CH4.Mean" "HP.12CH4.Mean" "HP.13CH4.Mean" "bag.." "sample.ID" "vol.mL" "Pssim" "description" "Time" "HP.CH4.Mean" "HR.CH4.Mean" "XCO2.Mean" "Patm.mbar" "Date.ID" "Patm.torr" "SSIM.dil.factor" "delta.HP.Delta.iCH4.Mean" "HP.Delta.iCH4.Mean.corr" "m.water" "treatment" "sample.date" "sample.depth" "V.hs.initial" "sal" "T.equil" "hs.removed" "Date.ID.ppm" "b.ppm" "b.sd.ppm" "m.ppm" "m.sd.ppm" "covar.mb.ppm" "r.sqrd.ppm" "Date.ID.delta" "b.delta" "b.sd.delta" "m.delta" "m.sd.delta" "covar.mb.delta" "r.sqrd.delta" "calibrated.ppm" "hs.ppm" "calibrated.delta" "time.days" "rho.sw" "V.sw" "V.hs" "V.gas" "bunsen.coeff" "n.CH4.hs" "n.CH4.water" "n.CH4.total" "c.CH4.water" "c.CH4.init.water" "V.discarded" "V.sampled" "V.leftover" "n.CH4.total.corr" "yaxis.low.x" "yaxis.high.x" "n.CH4.total.corr.log"
"1" "07/07/16" 43 1 "07/07/16 17:49:58" 1467928102.8673 -22.246 9999999 -3.897 240.447 2.645 230.655 9999999 12 57 3 836 " Mtot = 882.95.  This got accidentally spiked with 500x -23.9 permil." "17:49:58" 10000229.655 243.092 52.724 1008.53 25 756.459708853431 7.36765391217049 0 9999999 866.83 "Nbay 500x" 20160706 1 0.1 33.1 18 0 28 -9.3481865657843 1.29745848262422 1.20769219804516 0.0190644515846789 -0.0223865797816793 0.998010421060033 25 1.66532683769585 0.731058146709538 1.14581607632971 0.0249712636829117 0.0178312025912116 0.997158376010062 284.23212524141 2094.12392949941 -23.8244975963349 0 1023.8184574672 0.846663774888795 0.1 0.1 0.0293146749853962 8.76504343190078e-06 2.17545515165603e-06 1.09404985835568e-05 2569.44399439053 12921.8928552763 0 3 0.1 1.09404985835568e-05 0 0 -11.4230391876436
"2" "07/07/16" 45 1 "07/07/16 18:15:02" 1467929607.10837 -22.384 9999999 -12.205 74.278 0.817 55.687 9999999 12 57 1 836 " Mtot = 882.95." "18:15:02" 10000054.687 75.095 14.783 1008.53 25 756.459708853431 22.1029617365115 0 9999999 866.83 "Nbay 500x" 20160706 1 0.1 33.1 18 0 28 -9.3481865657843 1.29745848262422 1.20769219804516 0.0190644515846789 -0.0223865797816793 0.998010421060033 25 1.66532683769585 0.731058146709538 1.14581607632971 0.0249712636829117 0.0178312025912116 0.997158376010062 81.343459046417 1797.93136281844 -23.9826202148684 0.0174101975698162 1023.8184574672 0.846663774888795 0.1 0.1 0.0293146749853962 7.52531703624979e-06 1.86775910941542e-06 9.3930761456652e-06 2206.02223079727 11094.2223161714 0 1 0.1 9.3930761456652e-06 0.0233041195679035 0.00664178978747585 -11.5755377203452
"3" "07/07/16" 1 1 "07/07/16 18:28:36" 1467930419.97514 -22.395 9999999 -7.328 71.407 0.785 52.397 9999999 12 57 1 836 " Mtot = 882.95." "18:28:36" 10000051.397 72.192 13.521 1008.53 25 756.459708853431 22.1029617365115 0 9999999 866.83 "Nbay 500x" 20160706 1 0.1 33.1 18 0 28 -9.3481865657843 1.29745848262422 1.20769219804516 0.0190644515846789 -0.0223865797816793 0.998010421060033 25 1.66532683769585 0.731058146709538 1.14581607632971 0.0249712636829117 0.0178312025912116 0.997158376010062 77.8375285954919 1720.43991621078 -23.995224191708 0.026818377778486 1023.8184574672 0.846663774888795 0.1 0.1 0.0293146749853962 7.20097334027789e-06 1.78725806343758e-06 8.98823140371546e-06 2110.94193048749 10616.0576019637 0 1 0.1 8.98823140371546e-06 0.0251618567781267 0.0071712541165067 -11.6195944581209
"4" "07/10/16" 38 1 "07/10/16 14:49:21" 1468176465.17078 -20.896 9999999 -7.804 73.039 0.806 61.354 9999999 12 57 1 863 " Mtot = 882.95." "14:49:21" 10000060.354 73.845 248.763 1009.33 27 757.059758199591 22.7987286512851 0 9999999 866.83 "Nbay 500x" 20160706 1 0.1 33.1 18 8.2 28 -9.3481865657843 1.29745848262422 1.20769219804516 0.0190644515846789 -0.0223865797816793 0.998010421060033 27 3.76481946073367 2.05220983134128 1.22705552523576 0.0707717995245923 0.142312707943701 0.974077577782985 79.8338437988605 1820.1101419593 -21.8757327945928 2.87456369768414 1023.8184574672 0.846663774888795 0.0918 0.0918 0.0293146749853962 6.99345917130975e-06 1.89079926413585e-06 8.88425843544559e-06 2233.23510490831 10493.2544641023 0 1 0.0918 9.27578066558607e-06 -0.286899516397795 -0.081767786699271 -11.5881037842164
"5" "07/10/16" 39 1 "07/10/16 14:59:50" 1468177093.96097 -22.786 9999999 -31.484 69.304 0.762 48.386 9999999 12 57 1 863 " Mtot = 882.95. valve seemed to be slightly loose before." "14:59:50" 10000047.386 70.066 18.46 1009.33 27 757.059758199591 22.7987286512851 0 9999999 866.83 "Nbay 500x" 20160706 1 0.1 33.1 18 8.2 28 -9.3481865657843 1.29745848262422 1.20769219804516 0.0190644515846789 -0.0223865797816793 0.998010421060033 27 3.76481946073367 2.05220983134128 1.22705552523576 0.0707717995245923 0.142312707943701 0.974077577782985 75.2699749824479 1716.05973521385 -24.1948677372884 2.88184136192004 1023.8184574672 0.846663774888795 0.0918 0.0918 0.0293146749853962 6.59366343666855e-06 1.78270776573039e-06 8.37637120239895e-06 2105.56754476066 9893.38560457384 0 1 0.0918 8.76789343253942e-06 0.0545911060492519 0.0155587362821599 -11.644413981968
"6" "07/13/16" 34 1 "07/13/16 14:03:52" 1468432937.75739 -22.727 9999999 -42.004 70.834 0.779 56.238 9999999 12 57 1 854 " Mtot = 882.95." "14:03:52" 10000055.238 71.613 27.92 1015.91 30 761.995164071757 22.4148404154328 0 9999999 866.83 "Nbay 500x" 20160706 1 0.1 33.1 18 17.6 30 -14.0672404351188 1.37664413238724 1.26264902167627 0.0168333506514174 -0.0214769037254053 0.998934718940642 30 -2.05310420150926 0.523219018033931 0.965369951468466 0.0168792228483017 0.00857256613195104 0.998169065965407 76.3548439541839 1711.48164217831 -23.9930670885331 5.84299641307857 1023.8184574672 0.846663774888795 0.0824 0.0824 0.0293146749853962 5.90270596185207e-06 1.77795186951115e-06 7.68065783136322e-06 2099.95032531618 9071.67409208223 0 1 0.0824 8.2201879330503e-06 0.0248439132963248 0.00708063864552643 -11.708917486256
"7" "07/13/16" 35 1 "07/13/16 14:14:11" 1468433556.277 -22.734 9999999 -42.044 71.232 0.783 50.811 9999999 12 57 1 854 " Mtot = 882.95." "14:14:11" 10000049.811 72.015 29.563 1015.91 30 761.995164071757 22.4148404154328 0 9999999 866.83 "Nbay 500x" 20160706 1 0.1 33.1 18 17.6 30 -14.0672404351188 1.37664413238724 1.26264902167627 0.0168333506514174 -0.0214769037254053 0.998934718940642 30 -2.05310420150926 0.523219018033931 0.965369951468466 0.0168792228483017 0.00857256613195104 0.998169065965407 76.8624288608978 1722.85907685958 -23.9998246781934 5.85015520486015 1023.8184574672 0.846663774888795 0.0824 0.0824 0.0293146749853962 5.94194544293599e-06 1.7897711790283e-06 7.73171662196429e-06 2113.91018738622 9131.97995624628 0 1 0.0824 8.27124672365137e-06 0.0258399419860163 0.00736451176761326 -11.7027253077331
"8" "07/20/16" 35 1 "07/20/16 14:04:23" 1469037767.61917 -19.879 9999999 -33.814 53.042 0.584 41.018 9999999 12 57 1 873 " Mtot = 882.95." "14:04:23" 10000040.018 53.626 34.63 1021.91 34 766.495534167957 22.7789976871204 0 9999999 866.83 "Nbay 500x" 20160706 1 0.1 33.1 18 19.8 34 -13.9676140940577 2.25194583173078 1.28484072136657 0.0274047477597204 -0.057602081069014 0.996825537299587 34 -0.83937394408809 0.150344928916992 1.02282002277208 0.00507226545183329 0.000741048611828593 0.999827881010186 54.933254429946 1251.32447560574 -21.1720131767743 12.8433420355314 1023.8184574672 0.846663774888795 0.0802 0.0802 0.0293146749853962 4.2004517515459e-06 1.29992319867168e-06 5.50037495021758e-06 1535.34760459359 6496.52803551212 0 1 0.0802 6.18365082138024e-06 -0.390361517319998 -0.111254970676105 -11.9936017131213
"9" "07/20/16" 36 1 "07/20/16 14:14:59" 1469038403.48207 -19.784 9999999 -33.57 53.128 0.585 45.098 9999999 12 57 1 873 " Mtot = 882.95." "14:14:59" 10000044.098 53.713 36.078 1021.91 34 766.495534167957 22.7789976871204 0 9999999 866.83 "Nbay 500x" 20160706 1 0.1 33.1 18 19.8 34 -13.9676140940577 2.25194583173078 1.28484072136657 0.0274047477597204 -0.057602081069014 0.996825537299587 34 -0.83937394408809 0.150344928916992 1.02282002277208 0.00507226545183329 0.000741048611828593 0.999827881010186 55.0450355727049 1253.8707379981 -21.0748452746109 12.8507015598372 1023.8184574672 0.846663774888795 0.0802 0.0802 0.0293146749853962 4.20899905684874e-06 1.30256835236145e-06 5.51156740921019e-06 1538.47181253566 6509.74752041813 0 1 0.0802 6.19484328037285e-06 -0.404641455374988 -0.115324823925144 -11.9917933409638
"10" "08/02/16" 27 1 "08/02/16 12:16:15" 1470154478.81838 69.667 82.715 -9.757 0.628 0.008 0.626 0.008 12 57 7 869 " Mtot = 882.95. " "12:16:15" 0.634 0.636 373.297 1017.88 38 763.472785586676 3.25205716527176 4.24419796531707 78.4708020346829 866.83 "Nbay 500x" 20160706 1 0.1 33.1 18 22 38 -0.178070452078522 0.0261599345618043 1.05589918379319 0.00336344051197108 -6.58796952537189e-05 0.999979707115857 41 -3.51853835564807 1.26552658585497 0.891277886875063 0.0316008244512003 0.0391045515974703 0.990043315485523 0.49136963044636 1.59796212749002 66.4207522632155 25.768240174538 1023.8184574672 0.846663774888795 0.078 0.078 0.0293146749853962 5.21690319139708e-09 1.66002350359006e-09 6.87692669498714e-09 1.96066437802668 8.12238210603778 0 7 0.078 7.95008792974789e-07 -12.7199694837367 -3.62525446060811 -14.0449126620076
