"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"V.hs.initial"	"sal"	"T.equil"	"hs.removed"
"104"	30	1	"07/08/16 15:17:28"	1468005352.84078	-35.594	-37.33	-129.291	9.325	0.101	9.333	0.101	41	69	3	864	" Mtot = 838.77."	"07/08/16"	"15:17:28"	9.434	9.426	4.638	1008.41	26	756.369701451507	7.61532355003949	0	-37.33	822.62	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	0
"105"	31	1	"07/08/16 15:29:22"	1468006067.02015	-35.756	-37.431	-131.809	9.263	0.101	9.27	0.1	41	69	3	863	" Mtot = 838.77."	"07/08/16"	"15:29:22"	9.37	9.364	4.418	1008.41	26	756.369701451507	7.60650951815287	0	-37.431	822.62	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	0
"288"	24	1	"07/14/16 14:18:20"	1468520205.01157	-36.501	-37.651	-115.441	7.515	0.082	7.524	0.082	41	69	3	866	" Mtot = 838.77. 31 mM NaOH"	"07/14/16"	"14:18:20"	7.606	7.597	9.454	1014	31	760.5625462578	7.59087252158274	0	-37.651	822.62	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	6
"289"	25	1	"07/14/16 14:29:31"	1468520875.34356	-36.508	-37.675	-97.593	7.485	0.081	7.491	0.081	41	69	3	866	" Mtot = 838.77. 31 mM NaOH"	"07/14/16"	"14:29:31"	7.572	7.566	11.054	1014	31	760.5625462578	7.59087252158274	0	-37.675	822.62	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	6
"381"	27	1	"07/21/16 14:50:20"	1469126924.90273	-36.99	-38.113	-101.547	7.574	0.082	7.571	0.082	41	69	3	867	" Mtot = 838.77. 93 mM NaOH. NaOH concentration tripled compared to last time. added more because bags seemed not to be constant i.e. dead."	"07/21/16"	"14:50:20"	7.653	7.656	9.321	1019.79	35	764.905403400633	7.55648995850095	0	-38.113	822.62	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	12
"382"	28	1	"07/21/16 15:00:20"	1469127524.75245	-36.671	-37.988	-109.447	7.644	0.083	7.642	0.083	41	69	3	867	" Mtot = 838.77. 93 mM NaOH. NaOH concentration tripled compared to last time. added more because bags seemed not to be constant i.e. dead."	"07/21/16"	"15:00:20"	7.725	7.727	8.528	1019.79	35	764.905403400633	7.55648995850095	0	-37.988	822.62	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	12
"435"	35	1	"08/01/16 18:07:20"	1470089141.9769	-37.512	-38.568	-47.674	7.411	0.08	7.407	0.08	41	69	3	870	" Mtot = 838.77. 93 mM NaOH."	"08/01/16"	"18:07:20"	7.487	7.491	24.733	1017.29	37	763.030249193883	7.6012713861967	0	-38.568	822.62	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	18
"436"	36	1	"08/01/16 18:17:35"	1470089757.71052	-37.008	-38.02	-74.074	7.471	0.081	7.468	0.081	41	69	3	870	" Mtot = 838.77. 93 mM NaOH."	"08/01/16"	"18:17:35"	7.549	7.552	14.017	1017.29	37	763.030249193883	7.6012713861967	0	-38.02	822.62	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	18
"529"	36	1	"08/11/16 14:54:14"	1470941557.44429	-37.179	-38.544	-46.857	7.649	0.083	7.648	0.083	41	69	3	877	" Mtot = 838.77. 93 mM NaOH."	"08/11/16"	"14:54:14"	7.731	7.732	29.325	1017.76	41	763.382778184752	7.65889254217845	0	-38.544	822.62	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	24
"530"	37	1	"08/11/16 15:06:24"	1470942286.58767	-37.256	-38.404	-52.655	7.386	0.08	7.385	0.08	41	69	3	877	" Mtot = 838.77. 93 mM NaOH."	"08/11/16"	"15:06:24"	7.465	7.466	26.699	1017.76	41	763.382778184752	7.65889254217845	0	-38.404	822.62	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	24
"590"	35	1	"08/22/16 14:35:31"	1471890833.78172	-37.163	-37.774	-50.477	7.432	0.081	7.433	0.081	41	69	3	872	" Mtot = 838.77. 93 mM NaOH."	"08/22/16"	"14:35:31"	7.514	7.513	25.984	1010.73	42	758.109844555371	7.6681939630303	0	-37.774	822.62	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	30
"591"	36	1	"08/22/16 14:45:54"	1471891458.30173	-36.918	-37.648	-57.352	7.458	0.081	7.462	0.081	41	69	3	872	" Mtot = 838.77. 93 mM NaOH."	"08/22/16"	"14:45:54"	7.543	7.539	20.332	1010.73	42	758.109844555371	7.6681939630303	0	-37.648	822.62	"Bcubi 50x"	"20160706"	1	"0.15"	"34.8"	"0"	30
