"cali.date" "Run.Num" "Sample.Bag" "Date.Time" "Timestamp" "HR.Delta.iCH4.Mean" "HP.Delta.iCH4.Mean" "Delta.13CO2.Mean" "HR.12CH4.Mean" "HR.13CH4.Mean" "HP.12CH4.Mean" "HP.13CH4.Mean" "bag.." "sample.ID" "vol.mL" "Pssim" "description" "Date" "Time" "Timestamp.cor" "HP.CH4.Mean" "HR.CH4.Mean" "XCO2.Mean" "Patm.mbar" "Date.ID" "Patm.torr" "SSIM.dil.factor" "delta.HP.Delta.iCH4.Mean" "HP.Delta.iCH4.Mean.corr" "m.water" "treatment" "sample.date" "sample.depth" "T.equil" "V.hs.initial" "sal" "hs.removed" "V.discarded" "Date.ID.ppm" "b.ppm" "b.sd.ppm" "m.ppm" "m.sd.ppm" "covar.mb.ppm" "r.sqrd.ppm" "Date.ID.delta" "b.delta" "b.sd.delta" "m.delta" "m.sd.delta" "covar.mb.delta" "r.sqrd.delta" "calibrated.ppm" "hs.ppm" "calibrated.delta" "time.days" "rho.sw" "V.sw" "V.hs" "V.gas" "bunsen.coeff" "n.CH4.hs" "n.CH4.water" "n.CH4.total" "c.CH4.water" "c.CH4.init.water" "V.sampled" "V.leftover" "n.CH4.total.corr" "yaxis.low.x" "yaxis.high.x" "n.CH4.total.corr.log"
"1" "04/13.14/16" 44 1 "04/14/16 23:34:59" 1460673197.89834 -22.499 9999999 -2.705 48.1 0.531 36.955 9999999 38 38 0.6 892 " Mtot = 762.58g." "04/13/16" "23:34:59" 1460586797.89834 10000035.955 48.631 19.013 1022.7 5 767.08808289729 38.7613026408005 0 9999999 746.51 "500x Peri" 20160409 6.5 0 0.1 34.81692308 0 0 5 -8.17314268669346 3.66633298531859 1.26028713079299 0.0514720721339346 -0.171137651766614 0.986831470555223 7 1.31523609319884 2.80568378379648 1.128770602986 0.0893238299932249 0.246092470900786 0.975563509684884 53.1158807709004 2058.84072959355 -24.0809737033832 0 1027.95849872041 0.726206360401948 0.1 0.1 0.0446254401508442 9.18522996055644e-06 2.97668305172863e-06 1.21619130122851e-05 4098.94929876553 16747.1860278855 0.6 0.1 1.21619130122851e-05 0 0 -11.3172013737105
"2" "04/13.14/16" 45 1 "04/14/16 23:45:05" 1460673804.61056 -22.529 9999999 -11.073 47.378 0.522 36.035 9999999 38 38 0.6 892 " Mtot = 762.58g." "04/13/16" "23:45:05" 1460587404.61056 10000035.035 47.9 18.462 1022.7 5 767.08808289729 38.7613026408005 0 9999999 746.51 "500x Peri" 20160409 6.5 0 0.1 34.81692308 0 0 5 -8.17314268669346 3.66633298531859 1.26028713079299 0.0514720721339346 -0.171137651766614 0.986831470555223 7 1.31523609319884 2.80568378379648 1.128770602986 0.0893238299932249 0.246092470900786 0.975563509684884 52.1946108782908 2023.13110847225 -24.1148368214728 0.00702213217538816 1027.95849872041 0.726206360401948 0.1 0.1 0.0446254401508442 9.02591648035914e-06 2.92505388855562e-06 1.19509703689148e-05 4027.85495700785 16456.71398733 0.6 0.1 1.19509703689148e-05 0.00499174194148614 0.00142267123853674 -11.3346980804638
"3" "04/14.15.16/16" 26 1 "04/16/16 01:15:52" 1460769256.74319 -22.53 9999999 -12.387 78.766 0.869 66.123 9999999 38 38 1 870 " Mtot = 762.59." "04/16/16" "01:15:52" 1460769256.74319 10000065.123 79.635 29.105 1027.67 8 770.815889460309 22.5734838084133 0 9999999 746.51 "500x Peri" 20160409 6.5 0 0.1 34.81692308 1.2 0 7 -25.1761966813443 2.75428817611902 1.30963376133589 0.0343960234809303 -0.0904792953687281 0.99724843293355 7 1.31523609319884 2.80568378379648 1.128770602986 0.0893238299932249 0.246092470900786 0.975563509684884 79.1164879026393 1785.93475864876 -24.1159655920757 2.11179218576462 1027.95849872041 0.726206360401948 0.0988 0.0988 0.0446254401508442 7.87208576280032e-06 2.58211412429767e-06 1.0454199887098e-05 3555.62036508258 14395.6325049421 1 0.0988 1.05634667657435e-05 0.00515813632264327 0.00147009446335511 -11.4581090413517
"4" "04/14.15.16/16" 27 1 "04/16/16 01:25:47" 1460769852.23739 -22.6 9999999 -14.98 79.288 0.875 60.769 9999999 38 38 1 869 " Mtot = 762.59. Pssim = 869.1." "04/16/16" "01:25:47" 1460769852.23739 10000059.769 80.163 29.834 1027.67 8 770.815889460309 22.5475372753002 0 9999999 746.51 "500x Peri" 20160409 6.5 0 0.1 34.81692308 1.2 0 7 -25.1761966813443 2.75428817611902 1.30963376133589 0.0343960234809303 -0.0904792953687281 0.99724843293355 7 1.31523609319884 2.80568378379648 1.128770602986 0.0893238299932249 0.246092470900786 0.975563509684884 79.8079745286246 1799.47328055037 -24.1949795342848 2.118684479746 1027.95849872041 0.726206360401948 0.0988 0.0988 0.0446254401508442 7.93176118207024e-06 2.60168819241801e-06 1.05334493744883e-05 3582.57422997232 14504.7605595992 1 0.0988 1.06427162531337e-05 0.0168062212979581 0.00478985651689562 -11.4506348196823
"5" "04/18/16" 22 1 "04/18/16 12:29:28" 1460982467.95657 -22.425 9999999 -21.532 81.794 0.899 66.495 9999999 38 38 1 834 " mtotal=762.58. Pssim=834.3 Torr." "04/18/16" "12:29:28" 1460982467.95657 10000065.495 82.693 29.65 1025.71 10 769.345768562217 21.6807587454107 0 9999999 746.51 "500x Peri" 20160409 6.5 0 0.1 34.81692308 3.2 0 12 -23.1994132794361 2.52113770548891 1.31934745955155 0.0295165666542176 -0.0709420393206653 0.99501982000013 12 -0.153593394827279 0.314605933475722 1.06026974007589 0.0101325703677392 0.00311282942880417 0.999087547911951 85.9013861932602 1862.40722995243 -23.9301423160291 4.57951456284633 1027.95849872041 0.726206360401948 0.0968 0.0968 0.0446254401508442 8.04298555556114e-06 2.69267843652515e-06 1.07356639920863e-05 3707.86953041114 14783.2139423073 1 0.0968 1.10048888357608e-05 -0.0222318607028949 -0.00633619068692228 -11.4171709442853
"6" "04/18/16" 23 1 "04/18/16 12:39:52" 1460983092.12899 -22.433 9999999 -23.586 81.783 0.899 63.371 9999999 38 38 1 834 " mtotal=762.58. " "04/18/16" "12:39:52" 1460983092.12899 10000062.371 82.682 29.957 1025.71 10 769.345768562217 21.6807587454107 0 9999999 746.51 "500x Peri" 20160409 6.5 0 0.1 34.81692308 3.2 0 12 -23.1994132794361 2.52113770548891 1.31934745955155 0.0295165666542176 -0.0709420393206653 0.99501982000013 12 -0.153593394827279 0.314605933475722 1.06026974007589 0.0101325703677392 0.00311282942880417 0.999087547911951 85.8868733712052 1862.09258095874 -23.9386244739497 4.5867387806707 1027.95849872041 0.726206360401948 0.0968 0.0968 0.0446254401508442 8.04162671348266e-06 2.69222351530988e-06 1.07338502287925e-05 3707.24309522676 14780.7163556808 1 0.0968 1.10030750724671e-05 -0.0209817203609147 -0.00597989448220698 -11.4173357721908
"7" "04/20/16" 21 1 "04/20/16 10:48:37" 1461149216.85245 -22.378 9999999 -5.809 80.419 0.885 57.325 9999999 38 38 1 835 " mtotal=762.58. Pssim=835.2 Torr." "04/20/16" "10:48:37" 1461149216.85245 10000056.325 81.304 31.469 1027.94 12 771.018406114638 21.6596645003012 0 9999999 746.51 "500x Peri" 20160409 6.5 0 0.1 34.81692308 5.2 0 12 -23.1994132794361 2.52113770548891 1.31934745955155 0.0295165666542176 -0.0709420393206653 0.99501982000013 12 -0.153593394827279 0.314605933475722 1.06026974007589 0.0101325703677392 0.00311282942880417 0.999087547911951 84.0688125719431 1820.90227524699 -23.8803096382455 6.50947863553133 1027.95849872041 0.726206360401948 0.0948 0.0948 0.0446254401508442 7.70126838223876e-06 2.63267034874129e-06 1.03339387309801e-05 3625.23724975933 14230.0306007514 1 0.0948 1.07693269245414e-05 -0.029576215820031 -0.00842936836181604 -11.4388085641489
"8" "04/20/16" 22 1 "04/20/16 10:59:14" 1461149853.95792 -22.413 9999999 8.118 80.093 0.884 58.087 9999999 38 38 1 835 " mtotal=762.58." "04/20/16" "10:59:14" 1461149853.95792 10000057.087 80.977 30.499 1027.94 12 771.018406114638 21.6596645003012 0 9999999 746.51 "500x Peri" 20160409 6.5 0 0.1 34.81692308 5.2 0 12 -23.1994132794361 2.52113770548891 1.31934745955155 0.0295165666542176 -0.0709420393206653 0.99501982000013 12 -0.153593394827279 0.314605933475722 1.06026974007589 0.0101325703677392 0.00311282942880417 0.999087547911951 83.6373859526698 1811.55771941703 -23.9174190791482 6.5168525414362 1027.95849872041 0.726206360401948 0.0948 0.0948 0.0446254401508442 7.66174680365784e-06 2.61915993942932e-06 1.02809067430872e-05 3606.633158624 14157.0045426162 1 0.0948 1.07162949366485e-05 -0.0241070508462563 -0.00687062918855555 -11.4437450836438
"9" "05/20/16" 31 1 "05/20/16 17:17:38" 1463778963.05842 -2.04 1.874 -15.11 6.238 0.07 6.233 0.07 38 38 1 839 " mtotal=762.58. mtotal May=764.48. Pssim=839 Torr." "05/20/16" "17:17:38" 1463778963.05842 6.303 6.308 48.91 1021.21 14 765.970490990067 21.9068491506908 0 1.874 746.51 "500x Peri" 20160409 6.5 1 0.1 34.81692308 7.2 0 14 0.0237231560680333 0.612623897682642 1.00685989867436 0.0704997124458535 -0.0414888234251787 0.953264178945298 14 -3.75570254125556 1.11806846258002 0.934177639825115 0.0293603018307665 0.032284955190133 0.988285446450466 6.36996109741252 139.545776856785 -2.00505364422329 36.9463560194439 1027.8983475379 0.726248856988724 0.0928 0.0928 0.0433819233354387 5.75631976527348e-07 1.95429985280332e-07 7.7106196180768e-07 269.095067620005 1061.70488860357 1 0.0928 1.36850727758314e-06 -3.21788208235592 -0.91711237103886 -13.5017899905528
"10" "05/20/16" 32 1 "05/20/16 17:27:50" 1463779574.86439 -1.824 1.942 -16.955 6.08 0.068 6.076 0.068 38 38 1 838 " mtotal=762.58. mtotal May=764.48. Pssim=838 Torr." "05/20/16" "17:27:50" 1463779574.86439 6.144 6.148 49.6 1021.21 14 765.970490990067 21.8807384842419 0 1.942 746.51 "500x Peri" 20160409 6.5 1 0.1 34.81692308 7.2 0 14 0.0237231560680333 0.612623897682642 1.00685989867436 0.0704997124458535 -0.0414888234251787 0.953264178945298 14 -3.75570254125556 1.11806846258002 0.934177639825115 0.0293603018307665 0.032284955190133 0.988285446450466 6.2098703735233 135.876549664105 -1.94152956471519 36.9534371070591 1027.8983475379 0.726248856988724 0.0928 0.0928 0.0433819233354387 5.6049626587508e-07 1.90291334491985e-07 7.50787600367065e-07 262.019461594745 1033.78834010161 1 0.0928 1.34823291614253e-06 -3.22703854330719 -0.91972200787403 -13.5167157739441
