"Run.Num"	"Sample.Bag"	"Date.Time"	"Timestamp"	"HR.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean"	"Delta.13CO2.Mean"	"HR.12CH4.Mean"	"HR.13CH4.Mean"	"HP.12CH4.Mean"	"HP.13CH4.Mean"	"bag.."	"sample.ID"	"vol.mL"	"Pssim"	"description"	"Date"	"Time"	"Timestamp.cor"	"HP.CH4.Mean"	"HR.CH4.Mean"	"XCO2.Mean"	"Patm.mbar"	"Date.ID"	"Patm.torr"	"SSIM.dil.factor"	"delta.HP.Delta.iCH4.Mean"	"HP.Delta.iCH4.Mean.corr"	"cali.date"	"m.water"	"treatment"	"sample.date"	"sample.depth"	"T.equil"	"V.hs.initial"	"sal"	"hs.removed"	"V.discarded"
"37"	27	1	"04/08/16 18:56:11"	1460141526.10873	-40.687	-42.05	-13.555	12.35	0.133	12.343	0.133	8	8	5	1200	"  Mtot = 923.13g"	"04/08/16"	"18:56:11"	1460141526.10873	12.476	12.483	138.734	1020	3	765.062916354	6.27399380808441	0	-42.05	"04/08/16"	908.2	"50x EL"	"20160407"	1.5	0	0.15	36.0333	0	0
"38"	28	1	"04/08/16 19:12:25"	1460142499.55818	-42.805	-41.635	-6.616	12.161	0.132	12.158	0.132	8	8	5	1200	"  Mtot = 923.13g"	"04/08/16"	"19:12:25"	1460142499.55818	12.29	12.293	146.892	1020	3	765.062916354	6.27399380808441	0	-41.635	"04/08/16"	908.2	"50x EL"	"20160407"	1.5	0	0.15	36.0333	0	0
"122"	34	1	"04/14/16 21:46:53"	1460666712.39388	-37.771	-39.632	-10.223	6.087	0.066	6.1	0.066	8	8	2	902	" Mtot = 924.50g. Patm = 1024.18 mb"	"04/13/16"	"21:46:53"	1460580312.39388	6.166	6.153	102.659	1022.7	5	767.08808289729	11.7587539177137	0	-39.632	"04/13.14/16"	908.2	"50x EL"	"20160407"	1.5	0	0.15	36.0333	10	1
"123"	35	1	"04/14/16 21:56:54"	1460667313.03236	-37.903	-39.547	-9.447	5.99	0.065	6.004	0.065	8	8	2	901	" Mtot = 924.50g."	"04/13/16"	"21:56:54"	1460580913.03236	6.069	6.055	99.767	1022.7	5	767.08808289729	11.7457176051663	0	-39.547	"04/13.14/16"	908.2	"50x EL"	"20160407"	1.5	0	0.15	36.0333	10	0
"124"	36	1	"04/14/16 22:08:21"	1460668000.84937	-37.564	-39.453	-8.455	5.882	0.064	5.899	0.064	8	8	2	901	" Mtot = 924.50g."	"04/13/16"	"22:08:21"	1460581600.84937	5.963	5.946	98.652	1022.7	5	767.08808289729	11.7457176051663	0	-39.453	"04/13.14/16"	908.2	"50x EL"	"20160407"	1.5	0	0.15	36.0333	10	0
"396"	39	1	"04/17/16 17:37:23"	1460914543.48614	-38.915	-39.391	-10.348	9.699	0.105	9.699	0.105	8	8	3	837	" mtotal=924.5. Pssim=836.7 Torr. 10mL glass syringe used for subsequent injections."	"04/17/16"	"17:37:23"	1460914543.48614	9.804	9.804	161.141	1028.31	9	771.295928937237	7.23457727527311	0	-39.391	"04/17/16"	908.2	"50x EL"	"20160407"	1.5	0	0.15	36.0333	17	0
"397"	40	1	"04/17/16 17:47:26"	1460915145.42964	-39.594	-40.021	-9.295	9.588	0.104	9.589	0.104	8	8	3	837	" mtotal=924.5. "	"04/17/16"	"17:47:26"	1460915145.42964	9.693	9.692	152.441	1028.31	9	771.295928937237	7.23457727527311	0	-40.021	"04/17/16"	908.2	"50x EL"	"20160407"	1.5	0	0.15	36.0333	17	0
"517"	47	1	"04/19/16 15:43:18"	1461080498.48258	-39.168	-40.36	-9.668	9.086	0.098	9.081	0.098	8	8	3	834	" mtotal=924.5. Pssim=834.1 "	"04/19/16"	"15:43:18"	1461080498.48258	9.179	9.184	110.881	1025.95	11	769.525783366065	7.22522899191163	0	-40.36	"04/19/16"	908.2	"50x EL"	"20160407"	1.5	0	0.15	36.0333	23	0
"518"	48	1	"04/19/16 15:53:08"	1461081088.9528	-39.691	-39.906	-8.267	8.927	0.097	8.938	0.097	8	8	3	834	" mtotal=924.5. "	"04/19/16"	"15:53:08"	1461081088.9528	9.035	9.024	135.95	1025.95	11	769.525783366065	7.22522899191163	0	-39.906	"04/19/16"	908.2	"50x EL"	"20160407"	1.5	0	0.15	36.0333	23	0
"585"	51	1	"04/20/16 16:24:04"	1461169343.72264	-38.702	-39.688	-11.067	9.156	0.099	9.149	0.099	8	8	3	834	" mtotal=924.5. Pssim=834.3. "	"04/20/16"	"16:24:04"	1461169343.72264	9.248	9.255	121.075	1027.94	12	771.018406114638	7.21124159411224	0	-39.688	"04/20/16"	908.2	"50x EL"	"20160407"	1.5	0	0.15	36.0333	29	0
"586"	52	1	"04/20/16 16:34:39"	1461169979.52481	-38.549	-39.639	-10.226	9.077	0.098	9.071	0.098	8	8	3	834	" mtotal=924.5. "	"04/20/16"	"16:34:39"	1461169979.52481	9.169	9.175	120.922	1027.94	12	771.018406114638	7.21124159411224	0	-39.639	"04/20/16"	908.2	"50x EL"	"20160407"	1.5	0	0.15	36.0333	29	0
"587"	53	1	"04/20/16 16:46:19"	1461170677.94804	-38.52	-39.937	-10.331	9.125	0.099	9.121	0.098	8	8	3	834	" mtotal=924.5. "	"04/20/16"	"16:46:19"	1461170677.94804	9.219	9.224	121.701	1027.94	12	771.018406114638	7.21124159411224	0	-39.937	"04/20/16"	908.2	"50x EL"	"20160407"	1.5	0	0.15	36.0333	29	0
"629"	8	1	"05/20/16 13:03:26"	1463763710.65804	-29.723	-28.871	-8.632	6.375	0.07	6.366	0.07	8	8	3	845	" mtotal=924.5. mtotal May=925.88. Pssim=845Torr."	"05/20/16"	"13:03:26"	1463763710.65804	6.436	6.445	215.005	1021.21	14	765.970490990067	7.35450438312823	0	-28.871	"05/20/16"	908.2	"50x EL"	"20160407"	1.5	1	0.15	36.0333	42	0
"630"	9	1	"05/20/16 13:14:10"	1463764354.42937	-29.93	-29.289	-9.386	6.572	0.072	6.565	0.072	8	8	3	845	" mtotal=924.5. mtotal May=925.88 with tape. tape approx 0.8g Pssim=845Torr."	"05/20/16"	"13:14:10"	1463764354.42937	6.637	6.644	217.398	1021.21	14	765.970490990067	7.35450438312823	0	-29.289	"05/20/16"	908.2	"50x EL"	"20160407"	1.5	1	0.15	36.0333	42	0
"672"	9	1	"05/25/16 09:31:47"	1464183010.90806	-27.969	-25.714	-9.485	5.422	0.06	5.428	0.06	8	8	3	841	" mtotal=924.50. Pssim=841Torr."	"05/25/16"	"09:31:47"	1464183010.90806	5.488	5.482	179.456	1004.48	16	753.421959038496	7.44160241071524	0	-25.714	"05/25/16"	908.2	"50x EL"	"20160407"	1.5	1	0.15	36.0333	48	0
"673"	10	1	"05/25/16 09:42:22"	1464183646.55206	-28.696	-25.498	-8.8	5.456	0.06	5.466	0.06	8	8	3	841	" mtotal=924.50. Pssim=841Torr."	"05/25/16"	"09:42:22"	1464183646.55206	5.526	5.516	182.332	1004.48	16	753.421959038496	7.44160241071524	0	-25.498	"05/25/16"	908.2	"50x EL"	"20160407"	1.5	1	0.15	36.0333	48	0
